P_City,SaleDate,TotalSales,Cum_Sales
" ANTIOCH",2013-07-31,2115025,122724280
" ANTIOCH",2013-08-01,884390,123608670
" ANTIOCH",2013-08-02,373870,123982540
" ANTIOCH",2013-08-06,150000,124132540
" ANTIOCH",2013-08-07,69500,124202040
" ANTIOCH",2013-08-08,90000,124292040
" ANTIOCH",2013-08-09,670000,124962040
" ANTIOCH",2013-08-12,540990,125503030
" ANTIOCH",2013-08-13,1069890,126572920
" ANTIOCH",2013-08-14,430390,127003310
" ANTIOCH",2013-08-15,551900,127555210
" ANTIOCH",2013-08-16,829700,128384910
" ANTIOCH",2013-08-20,612560,128997470
" ANTIOCH",2013-08-21,723000,129720470
" ANTIOCH",2013-08-22,537000,130257470
" ANTIOCH",2013-08-23,494000,130751470
" ANTIOCH",2013-08-24,81500,130832970
" ANTIOCH",2013-08-26,278500,131111470
" ANTIOCH",2013-08-27,277000,131388470
" ANTIOCH",2013-08-28,3664569,135053039
" ANTIOCH",2013-08-29,693950,135746989
" ANTIOCH",2013-08-30,4561089,140308078
" ANTIOCH",2013-09-03,312500,140620578
" ANTIOCH",2013-09-05,137500,140758078
" ANTIOCH",2013-09-06,904807,141662885
" ANTIOCH",2013-09-09,216400,141879285
" ANTIOCH",2013-09-10,311400,142190685
" ANTIOCH",2013-09-11,68000,142258685
" ANTIOCH",2013-09-12,636890,142895575
" ANTIOCH",2013-09-13,1204601,144100176
" ANTIOCH",2013-09-15,115000,144215176
" ANTIOCH",2013-09-16,502800,144717976
" ANTIOCH",2013-09-17,476708,145194684
" ANTIOCH",2013-09-18,185000,145379684
" ANTIOCH",2013-09-19,112000,145491684
" ANTIOCH",2013-09-20,765200,146256884
" ANTIOCH",2013-09-23,116000,146372884
" ANTIOCH",2013-09-24,321972,146694856
" ANTIOCH",2013-09-25,767000,147461856
" ANTIOCH",2013-09-26,193900,147655756
" ANTIOCH",2013-09-27,727432,148383188
" ANTIOCH",2013-09-30,145600,148528788
" ANTIOCH",2013-10-01,55059,148583847
" ANTIOCH",2013-10-02,575283,149159130
" ANTIOCH",2013-10-03,899615,150058745
